Date,year,region,Temperature,Weather
12/27/2015,2015,Albany,11,cloudy
12/20/2015,2015,Albany,0,sunny
12/13/2015,2015,Albany,8,raining
12/6/2015,2015,Albany,17,cloudy
11/29/2015,2015,Albany,7,cloudy
11/22/2015,2015,Albany,26,sunny
11/15/2015,2015,Albany,25,cloudy
11/8/2015,2015,Albany,9,sunny
11/1/2015,2015,Albany,23,raining
10/25/2015,2015,Albany,10,raining
10/18/2015,2015,Albany,25,sunny
10/11/2015,2015,Albany,2,raining
10/4/2015,2015,Albany,2,sunny
9/27/2015,2015,Albany,12,cloudy
9/20/2015,2015,Albany,33,sunny
9/13/2015,2015,Albany,26,cloudy
9/6/2015,2015,Albany,15,sunny
8/30/2015,2015,Albany,14,raining
8/23/2015,2015,Albany,15,cloudy
8/16/2015,2015,Albany,12,cloudy
8/9/2015,2015,Albany,17,sunny
8/2/2015,2015,Albany,20,raining
7/26/2015,2015,Albany,-1,sunny
7/19/2015,2015,Albany,21,cloudy
7/12/2015,2015,Albany,29,sunny
7/5/2015,2015,Albany,1,cloudy
6/28/2015,2015,Albany,29,raining
6/21/2015,2015,Albany,9,sunny
6/14/2015,2015,Albany,9,sunny
6/7/2015,2015,Albany,10,sunny
5/31/2015,2015,Albany,1,raining
5/24/2015,2015,Albany,20,raining
5/17/2015,2015,Albany,28,sunny
5/10/2015,2015,Albany,18,cloudy
5/3/2015,2015,Albany,7,cloudy
4/26/2015,2015,Albany,5,cloudy
4/19/2015,2015,Albany,-1,sunny
4/12/2015,2015,Albany,12,cloudy
4/5/2015,2015,Albany,17,cloudy
3/29/2015,2015,Albany,33,raining
3/22/2015,2015,Albany,-3,sunny
3/15/2015,2015,Albany,12,raining
3/8/2015,2015,Albany,27,cloudy
3/1/2015,2015,Albany,27,raining
2/22/2015,2015,Albany,18,raining
2/15/2015,2015,Albany,29,cloudy
2/8/2015,2015,Albany,15,cloudy
2/1/2015,2015,Albany,18,raining
1/25/2015,2015,Albany,0,raining
1/18/2015,2015,Albany,24,cloudy
1/11/2015,2015,Albany,15,sunny
1/4/2015,2015,Albany,19,raining
12/27/2015,2015,Atlanta,1,sunny
12/20/2015,2015,Atlanta,20,raining
12/13/2015,2015,Atlanta,5,raining
12/6/2015,2015,Atlanta,32,sunny
11/29/2015,2015,Atlanta,21,cloudy
11/22/2015,2015,Atlanta,15,cloudy
11/15/2015,2015,Atlanta,14,sunny
11/8/2015,2015,Atlanta,3,raining
11/1/2015,2015,Atlanta,-5,raining
10/25/2015,2015,Atlanta,30,cloudy
10/18/2015,2015,Atlanta,2,cloudy
10/11/2015,2015,Atlanta,0,sunny
10/4/2015,2015,Atlanta,23,raining
9/27/2015,2015,Atlanta,11,sunny
9/20/2015,2015,Atlanta,33,sunny
9/13/2015,2015,Atlanta,18,cloudy
9/6/2015,2015,Atlanta,12,raining
8/30/2015,2015,Atlanta,14,cloudy
8/23/2015,2015,Atlanta,2,sunny
8/16/2015,2015,Atlanta,-3,cloudy
8/9/2015,2015,Atlanta,23,raining
8/2/2015,2015,Atlanta,20,cloudy
7/26/2015,2015,Atlanta,9,sunny
7/19/2015,2015,Atlanta,6,cloudy
7/12/2015,2015,Atlanta,0,raining
7/5/2015,2015,Atlanta,21,cloudy
6/28/2015,2015,Atlanta,8,cloudy
6/21/2015,2015,Atlanta,-5,raining
6/14/2015,2015,Atlanta,-5,raining
6/7/2015,2015,Atlanta,9,cloudy
5/31/2015,2015,Atlanta,-2,sunny
5/24/2015,2015,Atlanta,26,raining
5/17/2015,2015,Atlanta,13,cloudy
5/10/2015,2015,Atlanta,33,sunny
5/3/2015,2015,Atlanta,-3,sunny
4/26/2015,2015,Atlanta,21,raining
4/19/2015,2015,Atlanta,28,sunny
4/12/2015,2015,Atlanta,14,raining
4/5/2015,2015,Atlanta,28,raining
3/29/2015,2015,Atlanta,19,sunny
3/22/2015,2015,Atlanta,-1,cloudy
3/15/2015,2015,Atlanta,9,raining
3/8/2015,2015,Atlanta,13,raining
3/1/2015,2015,Atlanta,4,sunny
2/22/2015,2015,Atlanta,27,raining
2/15/2015,2015,Atlanta,16,raining
2/8/2015,2015,Atlanta,19,raining
2/1/2015,2015,Atlanta,26,sunny
1/25/2015,2015,Atlanta,-1,raining
1/18/2015,2015,Atlanta,23,sunny
1/11/2015,2015,Atlanta,-4,sunny
1/4/2015,2015,Atlanta,13,raining
12/27/2015,2015,BaltimoreWashington,28,raining
12/20/2015,2015,BaltimoreWashington,-4,cloudy
12/13/2015,2015,BaltimoreWashington,-5,sunny
12/6/2015,2015,BaltimoreWashington,31,sunny
11/29/2015,2015,BaltimoreWashington,5,cloudy
11/22/2015,2015,BaltimoreWashington,4,cloudy
11/15/2015,2015,BaltimoreWashington,26,cloudy
11/8/2015,2015,BaltimoreWashington,-2,cloudy
11/1/2015,2015,BaltimoreWashington,12,raining
10/25/2015,2015,BaltimoreWashington,14,cloudy
10/18/2015,2015,BaltimoreWashington,1,sunny
10/11/2015,2015,BaltimoreWashington,-1,sunny
10/4/2015,2015,BaltimoreWashington,2,cloudy
9/27/2015,2015,BaltimoreWashington,28,cloudy
9/20/2015,2015,BaltimoreWashington,5,cloudy
9/13/2015,2015,BaltimoreWashington,6,cloudy
9/6/2015,2015,BaltimoreWashington,3,cloudy
8/30/2015,2015,BaltimoreWashington,25,cloudy
8/23/2015,2015,BaltimoreWashington,13,cloudy
8/16/2015,2015,BaltimoreWashington,35,cloudy
8/9/2015,2015,BaltimoreWashington,7,sunny
8/2/2015,2015,BaltimoreWashington,26,cloudy
7/26/2015,2015,BaltimoreWashington,-5,cloudy
7/19/2015,2015,BaltimoreWashington,22,cloudy
7/12/2015,2015,BaltimoreWashington,-4,raining
7/5/2015,2015,BaltimoreWashington,0,raining
6/28/2015,2015,BaltimoreWashington,19,sunny
6/21/2015,2015,BaltimoreWashington,-2,cloudy
6/14/2015,2015,BaltimoreWashington,10,cloudy
6/7/2015,2015,BaltimoreWashington,29,cloudy
5/31/2015,2015,BaltimoreWashington,32,raining
5/24/2015,2015,BaltimoreWashington,11,sunny
5/17/2015,2015,BaltimoreWashington,-2,sunny
5/10/2015,2015,BaltimoreWashington,23,cloudy
5/3/2015,2015,BaltimoreWashington,22,cloudy
4/26/2015,2015,BaltimoreWashington,-4,raining
4/19/2015,2015,BaltimoreWashington,10,raining
4/12/2015,2015,BaltimoreWashington,35,sunny
4/5/2015,2015,BaltimoreWashington,30,cloudy
3/29/2015,2015,BaltimoreWashington,33,raining
